Gabon,GAB,1.956665502,2.290212287,2.335289324,2.829840494,2.901358327,3.695692164,3.796530446,4.779555245,4.891663756,5.98415027
United Kingdom,GBR,218.2449469,230.0799818,231.0429587,232.7707023,232.8517712,236.6287191,237.3616211,243.4279089,244.366854,259.4401893
Georgia,GEO,64.79582911,69.4181042,70.14591133,78.16403653,78.80786592,84.01273662,84.60582946,77.29976556,76.74166346,68.686798
Ghana,GHA,30.17730948,37.78226685,38.79437901,47.47308166,48.86001582,64.28874044,66.1102927,82.73267997,84.79302101,106.8723477
Gibraltar,GIB,2179.7,2466.1,2484.4,2656.8,2665.1,2683.3,2692.4,2735.1,2758,3073.2
Guinea,GIN,14.78828748,17.15546964,17.33315155,18.34022058,18.65662136,24.55673938,25.91205437,35.80972245,36.44699658,44.81688914
Gambia,GMB,37.22687747,44.1979249,45.4736166,59.72045455,61.79970356,90.59397233,93.82312253,121.4291502,125.2078063,167.2926877
Guinea-Bissau,GNB,22.16973684,25.31394026,25.77748933,30.22354196,30.83026316,37.56073969,38.4136202,46.78004979,47.78257468,58.11507824
Equatorial Guinea,GNQ,9.094474153,10.37094474,10.1573975,7.864705882,8.304242424,13.45322638,13.9173262,18.92677362,19.57244207,25.97896613
Greece,GRC,65.15166796,68.21416602,68.51075252,74.80608999,75.47982933,79.10622188,80.06149728,83.83093871,84.2678976,86.27882855
Grenada,GRD,268.4117647,277.7352941,277,261.7764706,266.3970588,283.1941176,283.6911765,298.8823529,299.5558824,307.8735294
Greenland,GRL,0.098624524,0.13579163,0.138132865,0.146912496,0.149253731,0.162715833,0.162423178,0.13692289,0.137288342,0.138640517
Guatemala,GTM,39.56778649,50.61015304,52.05136245,66.42989922,68.21945689,85.46609742,87.57932064,109.0767077,111.7648843,137.479106
Guam,GUM,126.0611111,155.3333333,158.7555556,192.8351852,197.1962963,241.6333333,247.3203704,287.6444444,289.6611111,295.2592593
Guyana,GUY,2.958842967,3.535971735,3.577911647,3.996007112,4.001666243,3.659039878,3.64491745,3.770474981,3.775275591,3.827086614
Hong Kong,HKG,3105.980392,3881.372549,3965.980392,5063.1,5183.4,5762.121212,5810.10101,6347.619048,6394.571429,6689.714286
Honduras,HND,0,18.49213513,24.05316829,24.72467602,32.49496827,33.52259362,43.8230673	45.0536241,55.79658593,56.94256859,67.06475109
Croatia,HRV,74.61405831,78.89465212,79.32391343,82.0604543,82.41817206,85.4945448,80.66535503,79.16294044,79.41334287,78.94533595
Haiti,HTI,143.0828374,170.8504717,173.9171626,206.4162554,211.1274673,257.6100508,262.8226052,310.2032656,315.4050798,362.8308055
Hungary,HUN,111.3873945,114.891198,115.2332666,119.1315983,119.1529255,115.4332703,115.4267275,113.9362977,113.6752511,110.4608748
Indonesia,IDN,49.75697047,63.389646,65.09381034,81.41576975,83.34143367,100.1544633,101.908698,116.7718763,118.3770437,133.3722274
Isle of Man,IMN,84.82982456,99.49473684,101.2473684,114.2245614,114.2596491,123.354386,124.4964912,134.7473684,136.154386,147.9421053
India,IND,154.2758643,186.312757,190.5715417,234.5056135,239.9985894,292.8174035,298.8419405,354.3268584,360.5178916,414.0282
Ireland,IRL,40.99869357,42.92713021,43.43228335,49.53984613,50.12338511,51.00847728,51.30258383,55.23550588,56.12197706,66.19473073
Iran,IRN,13.8039483,17.50883363,17.97987781,23.74395751,24.69010899,34.49031101,35.17732891,40.43478063,41.02590403,45.59477633
Iraq,IRQ,17.09160208,22.67641128,23.449034,31.21695132,32.11530969,39.9626289,41.04741752,53.90116149,55.46515307,71.07237981
Iceland,ISL,1.785825436,2.039281796,2.055840399,2.275690773,2.301795511,2.541905237,2.571541147,2.805037406,2.842573566,3.172478803
Israel,ISR,100.9704251,137.4306839,141.8207024,179.2051756,182.8096118,215.3419593,228.6968577,290.6192237,297.5508318,352.2920518
Italy,ITA,171.8280575,182.999048,183.8546462,191.8801911,192.1106899,192.8504301,192.983989,193.608201,193.7169766,201.5279017
Jamaica,JAM,152.5313943,172.5761773,175.0349954,196.9529086,199.6583564,220.6832872,222.1645429,239.0940905,240.5868883,248.4602031
Jordan,JOR,10.51507253,18.7530485,19.71784905,25.84621487,26.80944016,38.06043744,40.10270852,54.02851315,54.9663078,73.41644515
Japan,JPN,258.9119171,284.5514044,288.238342,318.8151788,321.0917031,338.8288535,339.8820625,347.9917695,348.8312757,351.309834
Kazakhstan,KAZ,3.752217283,4.725430603,4.80309664,5.377976812,5.439044709,6.055487647,6.093454828,5.513066637,5.503698559,6.045701745
Kenya,KEN,14.69136241,19.77099835,20.48262115,28.58331166,29.69599923,41.19589029,42.58018589,54.58379309,55.98495976,70.85833538
Kyrgyz Republic,KGZ,11.76173097,15.43222106,15.75755996,18.86027112,19.2168926,22.89468196,23.2721585,25.53910323,25.78258603,28.40406674
Cambodia,KHM,33.26675164,39.78124292,40.60568774,38.05937571,38.37813845,51.03589395,52.81898368,69.10211308,70.5239123,81.37087016
Kiribati,KIR,52.17407407,63.18641975,64.22222222,73.25925926,74.24320988,89.3962963,90.98518519,104.2049383,105.9975309,126.7259259
Saint Kitts and Nevis,KNA,146.2714286,128.2342857,127.1142857,166.1730769,165.3,157.05,157.7269231,175.1692308,177.7538462,201.3538462
North Korea,KOR,267.112513,334.2403794,340.8947128,395.2288513,401.4435828,444.4254924,448.8461953,487.3326871,489.5323754,508.180253
Kosovo,KSV,88.7296776,111.9684027,114.5402774,139.7079085,142.5553412,171.0296684,174.3363645,156.1495361,156.2555341,163.1009461
Kuwait,KWT,16.53417508,42.09786756,45.33670034,77.68473625,81.50297419,115.5349046,112.6324355,108.2755331,111.6735129,171.6875982
Laos,LAO,9.398990468,11.63788995,11.95681976,14.09315858,14.3742201,18.40484835,18.94085355,23.14938908,23.50390381,27.12540728
Lebanon,LBN,182.2683284,224.5750733,230.0653959,254.6719453,255.6943304,264.2247312,269.0589443,316.2639296,328.4335288,423.9644184
Liberia,LBR,11.88637874,14.739701,15.13407392,19.64834925,20.36747301,21.83219477,21.44995847,30.02458472,31.13340947,41.09208887
Libya,LBY,0.843320413,1.201600418,1.254944474,1.813714948,1.886038396,2.49975505,2.557037635,3.033329166,3.085069393,3.560985826
